"Temperature","Rho 1","Rho 2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
64.32,1,0.001,1,0.07936,0.125,0.075,0.17664
64.513,1,0.001,1,0.079616,0.125,0.075,0.17638
64.706,1,0.001,1,0.079872,0.125,0.075,0.17613
64.899,1,0.001,1,0.080128,0.125,0.075,0.17587
65.092,1,0.001,1,0.080384,0.125,0.075,0.17562
65.284,1,0.001,1,0.08064,0.125,0.075,0.17536
65.477,1,0.001,1,0.080896,0.125,0.075,0.1751
65.67,1,0.001,1,0.081152,0.125,0.075,0.17485
65.863,1,0.001,1,0.081408,0.125,0.075,0.17459
66.056,1,0.001,1,0.081664,0.125,0.075,0.17434
66.249,1,0.001,1,0.08192,0.125,0.075,0.17408
66.41,1,0.001,1,0.082176,0.125,0.075,0.17382
66.571,1,0.001,1,0.082432,0.125,0.075,0.17357
66.731,1,0.001,1,0.082688,0.125,0.075,0.17331
66.892,1,0.001,1,0.082944,0.125,0.075,0.17306
67.053,1,0.001,1,0.0832,0.125,0.075,0.1728
67.214,1,0.001,1,0.083456,0.125,0.075,0.17254
67.374,1,0.001,1,0.083712,0.125,0.075,0.17229
67.535,1,0.001,1,0.083968,0.125,0.075,0.17203
67.696,1,0.001,1,0.084224,0.125,0.075,0.17178
67.856,1,0.001,1,0.08448,0.125,0.075,0.17152
68.017,1,0.001,1,0.084736,0.125,0.075,0.17126
68.178,1,0.001,1,0.084992,0.125,0.075,0.17101
68.338,1,0.001,1,0.085248,0.125,0.075,0.17075
68.499,1,0.001,1,0.085504,0.125,0.075,0.1705
68.66,1,0.001,1,0.08576,0.125,0.075,0.17024
68.821,1,0.001,1,0.086016,0.125,0.075,0.16998
68.981,1,0.001,1,0.086272,0.125,0.075,0.16973
69.142,1,0.001,1,0.086528,0.125,0.075,0.16947
69.303,1,0.001,1,0.086784,0.125,0.075,0.16922
69.463,1,0.001,1,0.08704,0.125,0.075,0.16896
69.624,1,0.001,1,0.087296,0.125,0.075,0.1687
69.785,1,0.001,1,0.087552,0.125,0.075,0.16845
69.945,1,0.001,1,0.087808,0.125,0.075,0.16819
70.106,1,0.001,1,0.088064,0.125,0.075,0.16794
70.267,1,0.001,1,0.08832,0.125,0.075,0.16768
70.428,1,0.001,1,0.088576,0.125,0.075,0.16742
70.588,1,0.001,1,0.088832,0.125,0.075,0.16717
70.749,1,0.001,1,0.089088,0.125,0.075,0.16691
70.91,1,0.001,1,0.089344,0.125,0.075,0.16666
71.07,1,0.001,1,0.0896,0.125,0.075,0.1664
71.231,1,0.001,1,0.089856,0.125,0.075,0.16614
71.392,1,0.001,1,0.090112,0.125,0.075,0.16589
71.552,1,0.001,1,0.090368,0.125,0.075,0.16563
71.713,1,0.001,1,0.090624,0.125,0.075,0.16538
71.874,1,0.001,1,0.09088,0.125,0.075,0.16512
72.035,1,0.001,1,0.091136,0.125,0.075,0.16486
72.195,1,0.001,1,0.091392,0.125,0.075,0.16461
72.356,1,0.001,1,0.091648,0.125,0.075,0.16435
72.517,1,0.001,1,0.091904,0.125,0.075,0.1641
72.677,1,0.001,1,0.09216,0.125,0.075,0.16384
72.81,1,0.001,1,0.092416,0.125,0.075,0.16358
72.942,1,0.001,1,0.092672,0.125,0.075,0.16333
73.074,1,0.001,1,0.092928,0.125,0.075,0.16307
73.207,1,0.001,1,0.093184,0.125,0.075,0.16282
73.339,1,0.001,1,0.09344,0.125,0.075,0.16256
73.472,1,0.001,1,0.093696,0.125,0.075,0.1623
73.604,1,0.001,1,0.093952,0.125,0.075,0.16205
73.736,1,0.001,1,0.094208,0.125,0.075,0.16179
73.869,1,0.001,1,0.094464,0.125,0.075,0.16154
74.001,1,0.001,1,0.09472,0.125,0.075,0.16128
74.133,1,0.001,1,0.094976,0.125,0.075,0.16102
74.266,1,0.001,1,0.095232,0.125,0.075,0.16077
74.398,1,0.001,1,0.095488,0.125,0.075,0.16051
74.53,1,0.001,1,0.095744,0.125,0.075,0.16026
74.663,1,0.001,1,0.096,0.125,0.075,0.16
74.795,1,0.001,1,0.096256,0.125,0.075,0.15974
74.927,1,0.001,1,0.096512,0.125,0.075,0.15949
75.06,1,0.001,1,0.096768,0.125,0.075,0.15923
75.192,1,0.001,1,0.097024,0.125,0.075,0.15898
75.325,1,0.001,1,0.09728,0.125,0.075,0.15872
75.457,1,0.001,1,0.097536,0.125,0.075,0.15846
75.589,1,0.001,1,0.097792,0.125,0.075,0.15821
75.722,1,0.001,1,0.098048,0.125,0.075,0.15795
75.854,1,0.001,1,0.098304,0.125,0.075,0.1577
75.986,1,0.001,1,0.09856,0.125,0.075,0.15744
76.119,1,0.001,1,0.098816,0.125,0.075,0.15718
76.251,1,0.001,1,0.099072,0.125,0.075,0.15693
76.383,1,0.001,1,0.099328,0.125,0.075,0.15667
76.516,1,0.001,1,0.099584,0.125,0.075,0.15642
76.648,1,0.001,1,0.09984,0.125,0.075,0.15616
76.781,1,0.001,1,0.1001,0.125,0.075,0.1559
76.913,1,0.001,1,0.10035,0.125,0.075,0.15565
77.045,1,0.001,1,0.10061,0.125,0.075,0.15539
77.178,1,0.001,1,0.10086,0.125,0.075,0.15514
77.31,1,0.001,1,0.10112,0.125,0.075,0.15488
77.442,1,0.001,1,0.10138,0.125,0.075,0.15462
77.575,1,0.001,1,0.10163,0.125,0.075,0.15437
