"Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.021678,3.6442e-05,1,0,66.69,0,0,-1,1,0.033792,0.125,0.075,0.22221
0.021678,3.6442e-05,1,0,66.958,0,0,-1,1,0.034048,0.125,0.075,0.22195
0.021678,3.6442e-05,1,0,67.226,0,0,-1,1,0.034304,0.125,0.075,0.2217
0.021678,3.6442e-05,1,0,67.494,0,0,-1,1,0.03456,0.125,0.075,0.22144
0.021678,3.6442e-05,1,0,67.762,0,0,-1,1,0.034816,0.125,0.075,0.22118
0.021678,3.6442e-05,1,0,68.03,0,0,-1,1,0.035072,0.125,0.075,0.22093
0.021678,3.6442e-05,1,0,68.299,0,0,-1,1,0.035328,0.125,0.075,0.22067
0.021678,3.6442e-05,1,0,68.567,0,0,-1,1,0.035584,0.125,0.075,0.22042
0.021678,3.6442e-05,1,0,68.835,0,0,-1,1,0.03584,0.125,0.075,0.22016
0.021678,3.6442e-05,1,0,69.103,0,0,-1,1,0.036096,0.125,0.075,0.2199
0.021678,3.6442e-05,1,0,69.371,0,0,-1,1,0.036352,0.125,0.075,0.21965
0.021678,3.6442e-05,1,0,69.639,0,0,-1,1,0.036608,0.125,0.075,0.21939
0.021678,3.6442e-05,1,0,69.908,0,0,-1,1,0.036864,0.125,0.075,0.21914
0.021678,3.6442e-05,1,0,70.176,0,0,-1,1,0.03712,0.125,0.075,0.21888
0.021678,3.6442e-05,1,0,70.444,0,0,-1,1,0.037376,0.125,0.075,0.21862
0.021678,3.6442e-05,1,0,70.712,0,0,-1,1,0.037632,0.125,0.075,0.21837
0.021678,3.6442e-05,1,0,70.98,0,0,-1,1,0.037888,0.125,0.075,0.21811
0.021678,3.6442e-05,1,0,71.248,0,0,-1,1,0.038144,0.125,0.075,0.21786
0.021678,3.6442e-05,1,0,71.517,0,0,-1,1,0.0384,0.125,0.075,0.2176
0.021678,3.6442e-05,1,0,71.785,0,0,-1,1,0.038656,0.125,0.075,0.21734
0.021678,3.6442e-05,1,0,72.053,0,0,-1,1,0.038912,0.125,0.075,0.21709
0.021678,3.6442e-05,1,0,72.321,0,0,-1,1,0.039168,0.125,0.075,0.21683
0.021678,3.6442e-05,1,0,72.589,0,0,-1,1,0.039424,0.125,0.075,0.21658
0.021678,3.6442e-05,1,0,72.857,0,0,-1,1,0.03968,0.125,0.075,0.21632
0.021678,3.6442e-05,1,0,73.126,0,0,-1,1,0.039936,0.125,0.075,0.21606
0.021678,3.6442e-05,1,0,73.394,0,0,-1,1,0.040192,0.125,0.075,0.21581
0.021678,3.6442e-05,1,0,73.662,0,0,-1,1,0.040448,0.125,0.075,0.21555
0.021678,3.6442e-05,1,0,73.93,0,0,-1,1,0.040704,0.125,0.075,0.2153
0.021678,3.6442e-05,1,1.6446e-16,74.198,1.2582e-15,0,-1,1,0.04096,0.125,0.075,0.21504
0.021678,3.6442e-05,1,0,74.391,0,0,-1,1,0.041216,0.125,0.075,0.21478
0.021678,3.6442e-05,1,0,74.584,0,0,-1,1,0.041472,0.125,0.075,0.21453
0.021678,3.6442e-05,1,0,74.776,0,0,-1,1,0.041728,0.125,0.075,0.21427
0.021678,3.6442e-05,1,0,74.969,0,0,-1,1,0.041984,0.125,0.075,0.21402
0.021678,3.6442e-05,1,0,75.162,0,0,-1,1,0.04224,0.125,0.075,0.21376
0.021678,3.6442e-05,1,0,75.355,0,0,-1,1,0.042496,0.125,0.075,0.2135
0.021678,3.6442e-05,1,0,75.547,0,0,-1,1,0.042752,0.125,0.075,0.21325
0.021678,3.6442e-05,1,0,75.74,0,0,-1,1,0.043008,0.125,0.075,0.21299
0.021678,3.6442e-05,1,0,75.933,0,0,-1,1,0.043264,0.125,0.075,0.21274
0.021678,3.6442e-05,1,0,76.126,0,0,-1,1,0.04352,0.125,0.075,0.21248
0.021678,3.6442e-05,1,0,76.318,0,0,-1,1,0.043776,0.125,0.075,0.21222
0.021678,3.6442e-05,1,0,76.511,0,0,-1,1,0.044032,0.125,0.075,0.21197
0.021678,3.6442e-05,1,0,76.704,0,0,-1,1,0.044288,0.125,0.075,0.21171
0.021678,3.6442e-05,1,0,76.896,0,0,-1,1,0.044544,0.125,0.075,0.21146
0.021678,3.6442e-05,1,0,77.089,0,0,-1,1,0.0448,0.125,0.075,0.2112
0.021678,3.6442e-05,1,0,77.282,0,0,-1,1,0.045056,0.125,0.075,0.21094
0.021678,3.6442e-05,1,0,77.475,0,0,-1,1,0.045312,0.125,0.075,0.21069
0.021678,3.6442e-05,1,0,77.667,0,0,-1,1,0.045568,0.125,0.075,0.21043
0.021678,3.6442e-05,1,0,77.86,0,0,-1,1,0.045824,0.125,0.075,0.21018
0.021678,3.6442e-05,1,0,78.053,0,0,-1,1,0.04608,0.125,0.075,0.20992
0.021678,3.6442e-05,1,0,78.246,0,0,-1,1,0.046336,0.125,0.075,0.20966
0.021678,3.6442e-05,1,0,78.438,0,0,-1,1,0.046592,0.125,0.075,0.20941
0.021678,3.6442e-05,1,0,78.631,0,0,-1,1,0.046848,0.125,0.075,0.20915
0.021678,3.6442e-05,1,0,78.824,0,0,-1,1,0.047104,0.125,0.075,0.2089
0.021678,3.6442e-05,1,0,79.017,0,0,-1,1,0.04736,0.125,0.075,0.20864
0.021678,3.6442e-05,1,0,79.209,0,0,-1,1,0.047616,0.125,0.075,0.20838
0.021678,3.6442e-05,1,0,79.402,0,0,-1,1,0.047872,0.125,0.075,0.20813
0.021678,3.6442e-05,1,0,79.595,0,0,-1,1,0.048128,0.125,0.075,0.20787
0.021678,3.6442e-05,1,0,79.787,0,0,-1,1,0.048384,0.125,0.075,0.20762
0.021678,3.6442e-05,1,0,79.98,0,0,-1,1,0.04864,0.125,0.075,0.20736
0.021678,3.6442e-05,1,0,80.173,0,0,-1,1,0.048896,0.125,0.075,0.2071
0.021678,3.6442e-05,1,0,80.366,0,0,-1,1,0.049152,0.125,0.075,0.20685
0.021678,3.6442e-05,1,0,80.558,0,0,-1,1,0.049408,0.125,0.075,0.20659
0.021678,3.6442e-05,1,0,80.751,0,0,-1,1,0.049664,0.125,0.075,0.20634
0.021678,3.6442e-05,1,0,80.944,0,0,-1,1,0.04992,0.125,0.075,0.20608
0.021678,3.6442e-05,1,0,81.137,0,0,-1,1,0.050176,0.125,0.075,0.20582
0.021678,3.6442e-05,1,1.6446e-16,81.329,1.2582e-15,0,-1,1,0.050432,0.125,0.075,0.20557
0.021678,3.6442e-05,1,0,81.522,0,0,-1,1,0.050688,0.125,0.075,0.20531
0.021678,3.6442e-05,1,0,81.715,0,0,-1,1,0.050944,0.125,0.075,0.20506
0.021678,3.6442e-05,1,1.6446e-16,81.907,1.2582e-15,0,-1,1,0.0512,0.125,0.075,0.2048
0.021678,3.6442e-05,1,0,82.044,0,0,-1,1,0.051456,0.125,0.075,0.20454
0.021678,3.6442e-05,1,0,82.181,0,0,-1,1,0.051712,0.125,0.075,0.20429
0.021678,3.6442e-05,1,0,82.318,0,0,-1,1,0.051968,0.125,0.075,0.20403
0.021678,3.6442e-05,1,0,82.454,0,0,-1,1,0.052224,0.125,0.075,0.20378
0.021678,3.6442e-05,1,0,82.591,0,0,-1,1,0.05248,0.125,0.075,0.20352
0.021678,3.6442e-05,1,0,82.728,0,0,-1,1,0.052736,0.125,0.075,0.20326
0.021678,3.6442e-05,1,0,82.865,0,0,-1,1,0.052992,0.125,0.075,0.20301
0.021678,3.6442e-05,1,0,83.001,0,0,-1,1,0.053248,0.125,0.075,0.20275
0.021678,3.6442e-05,1,0,83.138,0,0,-1,1,0.053504,0.125,0.075,0.2025
0.021678,3.6442e-05,1,0,83.275,0,0,-1,1,0.05376,0.125,0.075,0.20224
0.021678,3.6442e-05,1,0,83.411,0,0,-1,1,0.054016,0.125,0.075,0.20198
0.021678,3.6442e-05,1,0,83.548,0,0,-1,1,0.054272,0.125,0.075,0.20173
0.021678,3.6442e-05,1,0,83.685,0,0,-1,1,0.054528,0.125,0.075,0.20147
0.021678,3.6442e-05,1,0,83.822,0,0,-1,1,0.054784,0.125,0.075,0.20122
0.021678,3.6442e-05,1,0,83.958,0,0,-1,1,0.05504,0.125,0.075,0.20096
